"PÉRIODE DE RÉFÉRENCE";"GÉO";"DGUID";"Produits";"UNITÉ DE MESURE";"IDENTIFICATEUR D'UNITÉ DE MESURE";"FACTEUR SCALAIRE";"IDENTIFICATEUR SCALAIRE";"VECTEUR";"COORDONNÉES";"VALEUR";"STATUS";"SYMBOLE";"TERMINÉ";"DÉCIMALES"
"2024-09";"Ontario";"2016A000235";"Boeuf à ragoût, par kilogramme";"Dollars";"81";"unités";"0";"v1159447175";"6.1";"21.79";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"27.78";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"23.05";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"30.42";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"30.29";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"24.26";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"23.57";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"28.90";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"24.74";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"26.20";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"24.85";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"21.40";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"19.18";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"29.86";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"23.48";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"29.43";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"23.80";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"28.70";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"26.94";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"30.58";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"28.17";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Contrefilets de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447176";"6.2";"32.47";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"18.83";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"18.45";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"21.21";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"20.49";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"21.89";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"23.89";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"22.68";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"28.33";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"28.58";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"26.58";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"20.14";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"20.83";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"17.80";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"18.31";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"20.59";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"18.57";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"21.00";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"22.55";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"22.79";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"22.84";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Hauts de surlonge de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1159447177";"6.3";"22.39";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"31.59";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"34.62";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"27.62";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"21.46";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"35.20";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"32.00";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"31.20";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"32.30";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"28.49";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"20.26";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"34.95";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"24.88";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"33.03";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"25.66";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"21.16";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"31.09";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"28.76";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"29.05";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"30.36";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"27.90";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Côtes de boeuf, par kilogramme";"Dollars";"81";"unités";"0";"v1353834532";"6.41";"32.88";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.13";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"9.59";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.26";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.47";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.88";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.51";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.60";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"10.62";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.30";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.49";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.58";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"12.23";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.06";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.09";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.49";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"11.29";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"12.23";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"12.83";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"13.14";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"13.47";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Boeuf haché, par kilogramme";"Dollars";"81";"unités";"0";"v1159447178";"6.4";"13.59";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"9.55";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"7.59";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"7.09";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"9.24";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.32";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.07";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"7.85";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"9.39";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.82";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.84";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"7.99";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.88";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.60";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.17";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"9.63";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"9.18";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.73";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.75";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.53";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"8.09";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Longes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447179";"6.5";"9.71";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.03";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.25";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.21";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.89";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.00";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.29";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.57";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.87";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.89";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.60";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"9.08";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"9.17";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.05";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.49";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.93";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.08";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.66";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.66";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.48";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"8.28";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Côtes de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1159447180";"6.6";"7.92";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"4.24";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"7.11";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"5.28";"";"";"";"2"
"2023-04";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"6.41";"";"";"";"2"
"2023-05";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.07";"";"";"";"2"
"2023-06";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.04";"";"";"";"2"
"2023-07";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.11";"";"";"";"2"
"2023-08";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.38";"";"";"";"2"
"2023-09";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.47";"";"";"";"2"
"2023-10";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"5.23";"";"";"";"2"
"2023-11";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"7.75";"";"";"";"2"
"2023-12";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"6.35";"";"";"";"2"
"2024-01";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"4.81";"";"";"";"2"
"2024-02";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"5.01";"";"";"";"2"
"2024-03";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.32";"";"";"";"2"
"2024-04";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.53";"";"";"";"2"
"2024-05";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"8.97";"";"";"";"2"
"2024-06";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"10.37";"";"";"";"2"
"2024-07";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"10.26";"";"";"";"2"
"2024-08";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"9.83";"";"";"";"2"
"2024-09";"Ontario";"2016A000235";"Épaule de porc, par kilogramme";"Dollars";"81";"unités";"0";"v1353834533";"6.42";"7.06";"";"";"";"2"
"2023-01";"Ontario";"2016A000235";"Poulet entier, par kilogramme";"Dollars";"81";"unités";"0";"v1159447181";"6.7";"5.72";"";"";"";"2"
"2023-02";"Ontario";"2016A000235";"Poulet entier, par kilogramme";"Dollars";"81";"unités";"0";"v1159447181";"6.7";"6.84";"";"";"";"2"
"2023-03";"Ontario";"2016A000235";"Poulet entier, par kilogramme";"Dollars";"81";"unités";"0";"v1159447181";"6.7";"5.95";"";"";"";"2"
